GEO_DISTRICT,GEO_REGION,Uninsurance_Rate_pct,High_Uninsurance,Ecological_Zone,OOF_proba_RF,OOF_pred_RF,OOF_proba_HGB,OOF_pred_HGB,OOF_proba_LASSO,OOF_pred_LASSO,Full_proba_RF,Full_proba_HGB,Full_proba_LASSO,Full_proba_Ensemble,Full_pred_Ensemble
SUAMAN,WESTERN NORTH,58.98923382460541,1,Southern Belt,0.27,0,0.06439478123785174,0,0.6949135092698355,1,0.805,0.9803150913340842,0.7384303649716368,0.8926575456670421,1
BEREKUM EAST MUNICIPAL,BONO,11.52637126830554,0,Middle Belt,0.0,0,0.0024973381301409817,0,0.20057403292687861,0,0.0,0.005304179232042285,0.17338146780265268,0.0026520896160211424,0
BIA EAST,WESTERN NORTH,43.88860625930322,1,Southern Belt,0.565,1,0.515891174972332,1,0.7593951093888316,1,0.845,0.9441416800100475,0.8595298137933784,0.8945708400050237,1
JAMAN SOUTH MUNICIPAL,BONO,8.824065301362873,0,Middle Belt,0.015,0,0.004135696199676408,0,0.2739283415883003,0,0.005,0.003046945385739284,0.23961904879138185,0.004023472692869642,0
BIA WEST,WESTERN NORTH,7.135768590191661,0,Southern Belt,0.33,0,0.23961793391295438,0,0.7048313531183363,1,0.145,0.0130920939187328,0.6321388451945309,0.0790460469593664,0
SUNYANI WEST,BONO,15.605563805854937,0,Middle Belt,0.025,0,0.00571754627882212,0,0.2152151860456722,0,0.015,0.0032726857408992434,0.17058934057197225,0.00913634287044962,0
ASUNAFO NORTH MUNICIPAL,AHAFO,14.236602361527986,0,Middle Belt,0.11,0,0.00842351933788085,0,0.42693464891253546,0,0.095,0.040704673417267696,0.4104301371182895,0.06785233670863385,0
BODI,WESTERN NORTH,37.75628155989536,1,Southern Belt,0.205,0,0.003598776068972566,0,0.46078748631760247,0,0.77,0.9891579848563391,0.5784635921569086,0.8795789924281696,1
JUABOSO,WESTERN NORTH,34.311032044497495,1,Southern Belt,0.035,0,0.00024857520905497365,0,0.403925952471334,0,0.74,0.8593453650195918,0.4985225183919251,0.799672682509796,1
NKORANZA NORTH,BONO EAST,17.748105121484734,0,Middle Belt,0.13,0,0.031431115894602235,0,0.37274168141851866,0,0.035,0.01694297217557647,0.35769422181346694,0.025971486087788237,0
KINTAMPO SOUTH,BONO EAST,18.54860608254888,0,Middle Belt,0.095,0,0.11779284737363507,0,0.3680834146875563,0,0.035,0.028937453346109917,0.3678334585080942,0.03196872667305496,0
SHAMA,WESTERN,30.40162424076981,1,Southern Belt,0.36,0,0.2674304945541444,0,0.6431702109854879,1,0.775,0.9609305493483381,0.7440286187166059,0.8679652746741691,1
TANO NORTH MUNICIPAL,AHAFO,14.104094290159637,0,Middle Belt,0.025,0,0.0035088112703621326,0,0.34756639436089687,0,0.02,0.017829635515191334,0.3113015254047757,0.018914817757595667,0
WASSA EAST,WESTERN,53.395690528999104,1,Southern Belt,0.875,1,0.999052314624979,1,0.9197803417417184,1,0.905,0.9986666886575069,0.9482959503561852,0.9518333443287534,1
KETU NORTH,VOLTA,38.01883592914351,1,Middle Belt,0.47,0,0.7585814820136968,1,0.4174626206006796,0,0.86,0.9549684666657758,0.45458392431273054,0.9074842333328879,1
MPOHOR,WESTERN,48.47389866994696,1,Southern Belt,0.87,1,0.9968007668099894,1,0.8395626793614,1,0.935,0.9928003050270594,0.8522577933009843,0.9639001525135298,1
WASSA AMENFI WEST,WESTERN,27.83435114503817,0,Southern Belt,0.695,1,0.39722862566003225,0,0.8075908695799268,1,0.29,0.045760966044879586,0.844025199011336,0.1678804830224398,0
KETU SOUTH,VOLTA,47.85794992138178,1,Middle Belt,0.49,0,0.27294343875372357,0,0.3410312065078585,0,0.8,0.9051393055414799,0.3507775359272662,0.85256965277074,1
WASSA AMENFI CENTRAL,WESTERN,47.02327985830389,1,Southern Belt,0.895,1,0.9969950453487784,1,0.882318297247238,1,0.985,0.9988340976654324,0.9099732978369505,0.9919170488327163,1
KETA MUNICIPAL,VOLTA,27.29197839263524,0,Middle Belt,0.52,1,0.9731631608752794,1,0.3345156492433768,0,0.225,0.06694020189392902,0.2591303183211556,0.1459701009469645,0
KADJEBI,OTI,28.898443732338187,0,Northern Belt,0.555,1,0.3651998472432495,0,0.5670774998427304,1,0.2,0.061902885251414,0.5434535842444794,0.13095144262570702,0
MFANTSEMAN MUNICIPAL,CENTRAL,39.69272668067848,1,Southern Belt,0.52,1,0.10116857855084264,0,0.7250931727189781,1,0.845,0.9655772396947264,0.7666211730161964,0.9052886198473632,1
SOUTH TONGU,VOLTA,34.3396926994006,1,Middle Belt,0.63,1,0.7871896375573019,1,0.4238356436983308,0,0.88,0.9692200812538706,0.46409304857037414,0.9246100406269353,1
EKUMFI,CENTRAL,59.33980719409245,1,Southern Belt,0.945,1,0.9976751805391525,1,0.8106975631192278,1,0.99,0.9993409414793577,0.8576929294137614,0.9946704707396788,1
TWIFO HEMANG LOWER DENKYIRA,CENTRAL,55.3931138857359,1,Southern Belt,0.96,1,0.9955186374532203,1,0.8425909287090251,1,1.0,0.9969774632241952,0.8993415020867134,0.9984887316120976,1
JASIKAN,OTI,36.79872686154619,1,Northern Belt,0.455,0,0.15229961988538093,0,0.5232910043937208,1,0.73,0.897005426986304,0.553737486796589,0.8135027134931521,1
TWIFO ATTI-MORKWA,CENTRAL,44.01443713993912,1,Southern Belt,0.9,1,0.9933234342059698,1,0.8707688402849051,1,0.975,0.9927192508505852,0.8867932430848974,0.9838596254252926,1
KRACHI EAST MUNICIPAL,OTI,45.87042151491828,1,Northern Belt,0.65,1,0.8935805776558158,1,0.7397797341928644,1,0.865,0.9802341486080294,0.7717307029039531,0.9226170743040147,1
AWUTU SENYA,CENTRAL,57.32751145794624,1,Southern Belt,0.805,1,0.899151725274983,1,0.747091430672181,1,0.935,0.9961531398859228,0.8221299958624961,0.9655765699429615,1
NKWANTA SOUTH MUNICIPAL,OTI,52.28489877589454,1,Northern Belt,0.845,1,0.9797075303168205,1,0.7527221762822378,1,0.925,0.9802341486080294,0.7984125169678317,0.9526170743040148,1
AWUTU SENYA EAST,CENTRAL,41.96645626080743,1,Southern Belt,0.555,1,0.1995050403587945,0,0.7219490884762704,1,0.88,0.9535772265954782,0.6382172208932849,0.9167886132977391,1
